,clog,sp1,sp2,sv,dp1,dp1a,dp1_10,dp1_10a,dp1_50,dp1_50a,dp2,dp2a,dp2_10,dp2_10a,dp2_50,dp2_50a,dp1p2
0,0,9340,9335,10000,0,0,-2,2,0,0,1,1,0,0,1,1,-5
1,0,9341,9335,10000,1,1,1,1,0,0,0,0,-2,2,0,0,-6
2,0,9341,9337,10000,0,0,0,0,0,0,2,2,0,0,1,1,-4
3,0,9341,9337,10000,0,0,1,1,-1,1,0,0,2,2,1,1,-4
4,0,9341,9336,10000,0,0,2,2,-1,1,-1,1,1,1,0,0,-5
5,0,9341,9335,10000,0,0,1,1,1,1,-1,1,0,0,-1,1,-6
6,0,9338,9337,10000,-3,3,-2,2,-3,3,2,2,2,2,1,1,-1
7,0,9341,9335,10000,3,3,-1,1,-1,1,-2,2,0,0,1,1,-6
8,0,9341,9334,10000,0,0,1,1,1,1,-1,1,0,0,0,0,-7
9,0,9341,9334,10000,0,0,1,1,2,2,0,0,-1,1,-2,2,-7
10,0,9340,9337,10000,-1,1,-1,1,1,1,3,3,2,2,1,1,-3
11,0,9339,9337,10000,-1,1,-2,2,-1,1,0,0,0,0,1,1,-2
12,0,9341,9335,10000,2,2,0,0,1,1,-2,2,-2,2,0,0,-6
13,0,9341,9335,10000,0,0,0,0,-1,1,0,0,-1,1,0,0,-6
14,0,9341,9335,10000,0,0,0,0,1,1,0,0,0,0,0,0,-6
15,0,9341,9335,10000,0,0,3,3,0,0,0,0,-2,2,0,0,-6
16,0,9341,9336,10000,0,0,0,0,0,0,1,1,1,1,1,1,-5
17,0,9341,9337,10000,0,0,0,0,0,0,1,1,3,3,1,1,-4
18,0,9340,9335,10000,-1,1,-1,1,-1,1,-2,2,1,1,-1,1,-5
19,0,9341,9337,10000,1,1,1,1,0,0,2,2,0,0,1,1,-4
20,0,9340,9336,10000,-1,1,1,1,-1,1,-1,1,-1,1,-1,1,-4
21,0,9340,9336,10000,0,0,-1,1,0,0,0,0,1,1,0,0,-4
22,0,9340,9335,10000,0,0,-1,1,0,0,-1,1,0,0,-1,1,-5
23,0,9340,9334,10000,0,0,-1,1,1,1,-1,1,-1,1,-2,2,-6
24,0,9341,9337,10000,1,1,0,0,2,2,3,3,2,2,2,2,-4
25,0,9341,9336,10000,0,0,0,0,1,1,-1,1,0,0,1,1,-5
26,0,9340,9335,10000,-1,1,-1,1,0,0,-1,1,-2,2,0,0,-5
27,0,9340,9335,10000,0,0,0,0,1,1,0,0,0,0,1,1,-5
28,0,9339,9335,10000,-1,1,-2,2,0,0,0,0,-2,2,1,1,-4
29,0,9341,9336,10000,2,2,1,1,0,0,1,1,0,0,1,1,-5
30,0,9341,9335,10000,0,0,1,1,0,0,-1,1,-1,1,-1,1,-6
31,0,9340,9335,10000,-1,1,0,0,0,0,0,0,0,0,-1,1,-5
32,0,9341,9334,10000,1,1,1,1,1,1,-1,1,0,0,0,0,-7
33,0,9341,9334,10000,0,0,0,0,2,2,0,0,-3,3,-1,1,-7
34,0,9340,9335,10000,-1,1,-1,1,1,1,1,1,-1,1,0,0,-5
35,0,9341,9336,10000,1,1,1,1,-1,1,1,1,1,1,0,0,-5
36,0,9339,9337,10000,-2,2,-1,1,-1,1,1,1,2,2,1,1,-2
37,0,9339,9336,10000,0,0,0,0,-2,2,-1,1,1,1,0,0,-3
38,0,9342,9334,10000,3,3,1,1,2,2,-2,2,-2,2,-2,2,-8
39,0,9342,9334,10000,0,0,1,1,0,0,0,0,-1,1,-1,1,-8
40,0,9341,9335,10000,-1,1,1,1,-1,1,1,1,0,0,0,0,-6
41,0,9340,9335,10000,-1,1,-1,1,0,0,0,0,1,1,-2,2,-5
42,0,9340,9337,10000,0,0,-1,1,-1,1,2,2,3,3,0,0,-3
43,0,9340,9336,10000,0,0,0,0,0,0,-1,1,1,1,1,1,-4
44,0,9341,9335,10000,1,1,0,0,2,2,-1,1,-1,1,0,0,-6
45,0,9341,9335,10000,0,0,2,2,1,1,0,0,-2,2,0,0,-6
46,0,9340,9335,10000,-1,1,1,1,0,0,0,0,-1,1,0,0,-5
47,0,9340,9337,10000,0,0,-2,2,-2,2,2,2,3,3,2,2,-3
48,0,9340,9336,10000,0,0,-2,2,0,0,-1,1,2,2,2,2,-4
49,0,9341,9335,10000,1,1,0,0,1,1,-1,1,0,0,0,0,-6
50,0,9340,9335,10000,-1,1,0,0,-1,1,0,0,0,0,0,0,-5
51,0,9340,9335,10000,0,0,0,0,-1,1,0,0,-2,2,-2,2,-5
52,0,9339,9335,10000,-1,1,-1,1,-2,2,0,0,-1,1,-2,2,-4
53,0,9341,9335,10000,2,2,0,0,0,0,0,0,0,0,-1,1,-6
54,0,9341,9334,10000,0,0,0,0,0,0,-1,1,-1,1,-1,1,-7
55,0,9339,9335,10000,-2,2,-1,1,1,1,1,1,0,0,-2,2,-4
56,0,9338,9334,10000,-1,1,-2,2,-3,3,-1,1,-3,3,-1,1,-4
57,0,9338,9334,10000,0,0,-2,2,-3,3,0,0,-2,2,0,0,-4
58,0,9341,9336,10000,3,3,0,0,0,0,2,2,1,1,2,2,-5
59,0,9339,9336,10000,-2,2,-1,1,-1,1,0,0,1,1,-1,1,-3
