clog,sp1,sp2,sv,dp1,dp1a,dp1_10,dp1_10a,dp1_50,dp1_50a,dp2,dp2a,dp2_10,dp2_10a,dp2_50,dp2_50a,dp1p2
0,6497.0,9186.0,0.0,-3.0,3.0,-17.0,17.0,-192.0,192.0,2.0,2.0,-2.0,2.0,-26.0,26.0,2689.0
0,6497.0,9186.0,0.0,0.0,0.0,-15.0,15.0,-180.0,180.0,0.0,0.0,-3.0,3.0,-25.0,25.0,2689.0
0,6496.0,9186.0,0.0,-1.0,1.0,-15.0,15.0,-181.0,181.0,0.0,0.0,-3.0,3.0,-25.0,25.0,2690.0
0,6494.0,9183.0,0.0,-2.0,2.0,-18.0,18.0,-171.0,171.0,-3.0,3.0,-6.0,6.0,-27.0,27.0,2689.0
0,6491.0,9184.0,0.0,-3.0,3.0,-21.0,21.0,-165.0,165.0,1.0,1.0,-5.0,5.0,-25.0,25.0,2693.0
0,6491.0,9184.0,0.0,0.0,0.0,-16.0,16.0,-156.0,156.0,0.0,0.0,-3.0,3.0,-23.0,23.0,2693.0
0,6488.0,9182.0,0.0,-3.0,3.0,-17.0,17.0,-149.0,149.0,-2.0,2.0,-5.0,5.0,-26.0,26.0,2694.0
0,6488.0,9182.0,0.0,0.0,0.0,-15.0,15.0,-142.0,142.0,0.0,0.0,-4.0,4.0,-24.0,24.0,2694.0
0,6486.0,9181.0,0.0,-2.0,2.0,-14.0,14.0,-144.0,144.0,-1.0,1.0,-3.0,3.0,-25.0,25.0,2695.0
0,6485.0,9182.0,0.0,-1.0,1.0,-12.0,12.0,-137.0,137.0,1.0,1.0,-4.0,4.0,-25.0,25.0,2697.0
0,6484.0,9180.0,0.0,-1.0,1.0,-13.0,13.0,-131.0,131.0,-2.0,2.0,-6.0,6.0,-24.0,24.0,2696.0
0,6482.0,9181.0,0.0,-2.0,2.0,-14.0,14.0,-128.0,128.0,1.0,1.0,-5.0,5.0,-22.0,22.0,2699.0
0,6481.0,9180.0,0.0,-1.0,1.0,-13.0,13.0,-122.0,122.0,-1.0,1.0,-3.0,3.0,-23.0,23.0,2699.0
0,6481.0,9180.0,0.0,0.0,0.0,-10.0,10.0,-115.0,115.0,0.0,0.0,-4.0,4.0,-21.0,21.0,2699.0
0,6480.0,9181.0,0.0,-1.0,1.0,-11.0,11.0,-116.0,116.0,1.0,1.0,-3.0,3.0,-20.0,20.0,2701.0
0,6478.0,9180.0,0.0,-2.0,2.0,-10.0,10.0,-112.0,112.0,-1.0,1.0,-2.0,2.0,-22.0,22.0,2702.0
0,6476.0,9179.0,0.0,-2.0,2.0,-12.0,12.0,-109.0,109.0,-1.0,1.0,-3.0,3.0,-21.0,21.0,2703.0
0,6476.0,9180.0,0.0,0.0,0.0,-10.0,10.0,-104.0,104.0,1.0,1.0,-1.0,1.0,-22.0,22.0,2704.0
0,6475.0,9178.0,0.0,-1.0,1.0,-10.0,10.0,-100.0,100.0,-2.0,2.0,-4.0,4.0,-22.0,22.0,2703.0
0,6475.0,9178.0,0.0,0.0,0.0,-9.0,9.0,-94.0,94.0,0.0,0.0,-2.0,2.0,-20.0,20.0,2703.0
0,6473.0,9179.0,0.0,-2.0,2.0,-9.0,9.0,-96.0,96.0,1.0,1.0,-2.0,2.0,-19.0,19.0,2706.0
0,6470.0,9176.0,0.0,-3.0,3.0,-11.0,11.0,-97.0,97.0,-3.0,3.0,-4.0,4.0,-22.0,22.0,2706.0
0,6469.0,9177.0,0.0,-1.0,1.0,-12.0,12.0,-94.0,94.0,1.0,1.0,-3.0,3.0,-20.0,20.0,2708.0
0,6469.0,9176.0,0.0,0.0,0.0,-11.0,11.0,-88.0,88.0,-1.0,1.0,-5.0,5.0,-21.0,21.0,2707.0
0,6466.0,9177.0,0.0,-3.0,3.0,-12.0,12.0,-87.0,87.0,1.0,1.0,-3.0,3.0,-20.0,20.0,2711.0
0,6466.0,9177.0,0.0,0.0,0.0,-10.0,10.0,-85.0,85.0,0.0,0.0,-2.0,2.0,-19.0,19.0,2711.0
0,6467.0,9176.0,0.0,1.0,1.0,-9.0,9.0,-84.0,84.0,-1.0,1.0,-4.0,4.0,-20.0,20.0,2709.0
0,6465.0,9176.0,0.0,-2.0,2.0,-10.0,10.0,-81.0,81.0,0.0,0.0,-2.0,2.0,-18.0,18.0,2711.0
